title,genre,budget,year,month
Avatar,Action,237000000,2009,12
Pirates of the Caribbean: At World's End,Adventure,300000000,2007,5
Spectre,Action,245000000,2015,10
The Dark Knight Rises,Action,250000000,2012,7
John Carter,Action,260000000,2012,3
Spider-Man 3,Fantasy,258000000,2007,5
Tangled,Animation,260000000,2010,11
Avengers: Age of Ultron,Action,280000000,2015,4
Harry Potter and the Half-Blood Prince,Adventure,250000000,2009,7
Batman v Superman: Dawn of Justice,Action,250000000,2016,3
Superman Returns,Adventure,270000000,2006,6
Quantum of Solace,Adventure,200000000,2008,10
Pirates of the Caribbean: Dead Man's Chest,Adventure,200000000,2006,6
The Lone Ranger,Action,255000000,2013,7
Man of Steel,Action,225000000,2013,6
The Chronicles of Narnia: Prince Caspian,Adventure,225000000,2008,5
The Avengers,Science Fiction,220000000,2012,4
Pirates of the Caribbean: On Stranger Tides,Adventure,380000000,2011,5
Men in Black 3,Action,225000000,2012,5
The Hobbit: The Battle of the Five Armies,Action,250000000,2014,12
The Amazing Spider-Man,Action,215000000,2012,6
Robin Hood,Action,200000000,2010,5
The Hobbit: The Desolation of Smaug,Adventure,250000000,2013,12
The Golden Compass,Adventure,180000000,2007,12
King Kong,Adventure,207000000,2005,12
Titanic,Drama,200000000,1997,11
Captain America: Civil War,Adventure,250000000,2016,4
Battleship,Thriller,209000000,2012,4
Jurassic World,Action,150000000,2015,6
Skyfall,Action,200000000,2012,10
Spider-Man 2,Action,200000000,2004,6
Iron Man 3,Action,200000000,2013,4
Alice in Wonderland,,200000000,2010,3
X-Men: The Last Stand,Adventure,210000000,2006,5
Monsters University,Animation,200000000,2013,6
Transformers: Revenge of the Fallen,Science Fiction,150000000,2009,6
Transformers: Age of Extinction,Science Fiction,210000000,2014,6
Oz: The Great and Powerful,Fantasy,200000000,2013,3
The Amazing Spider-Man 2,Action,200000000,2014,4
TRON: Legacy,Adventure,170000000,2010,12
Cars 2,Animation,200000000,2011,6
Green Lantern,Adventure,200000000,2011,6
Toy Story 3,Animation,200000000,2010,6
Terminator Salvation,Action,200000000,2009,5
Furious 7,Action,190000000,2015,4
World War Z,Action,200000000,2013,6
X-Men: Days of Future Past,Action,250000000,2014,5
Star Trek Into Darkness,Action,190000000,2013,5
Jack the Giant Slayer,Action,195000000,2013,2
The Great Gatsby,Drama,105000000,2013,5
Prince of Persia: The Sands of Time,Adventure,150000000,2010,5
Pacific Rim,Action,180000000,2013,7
Transformers: Dark of the Moon,Action,195000000,2011,6
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,185000000,2008,5
The Good Dinosaur,Adventure,175000000,2015,11
Brave,Animation,185000000,2012,6
Star Trek Beyond,Action,185000000,2016,7
WALL·E,Animation,180000000,2008,6
Rush Hour 3,Action,140000000,2007,8
